,nrOfConversations,longestConversation,longestConversationInDays,averageConversationLength,averageConversationLengthInDays,medianConversationLength,medianConversationLengthInDays,nrOfOneMessageConversations,percentOfOneMessageConversations,nrOfGhostingsAfterInitialMessage,ageFilterMin,ageFilterMax,appOpens,matches,messagesReceived,messagesSent,swipeLikes,swipePasses,birthYear,createYear,F,M,bisexual,gay,straight,swipeRatio,successRate,accountAge,averagenrofConversations_annual,averagenrofOneMessageConversations_annual,averageMatches_annual,totalSwipes,averageSwipes_annual,averageappOpens_annual,messagesRatio,averagenrOfGhostingsAfterInitialMessage_annual,ghostingPercentage,ageFilterRange,swipesPerappOpen
77,269,202,163.2577777777778,13.821561338289962,12.219309427922347,4,1.3621990740740741,51,18.95910780669145,1,18,25,8913,276,3252,3718,24024,13626,1997,2020,0,1,0,0,1,1.7630999559665346,0.011488511488511488,2,134.5,25.5,138.0,37650,18825.0,4456.5,0.8746637977407208,0.5,0.0037174721189591076,7,4.224166947155839
79,1890,241,1050.4560416666666,6.317989417989418,7.277816364148548,2,0.004560185185185185,848,44.86772486772487,11,18,33,31481,1861,12590,11332,163362,2406,1991,2016,0,1,0,0,1,67.89775561097257,0.011391878160159645,6,315.0,141.33333333333334,310.1666666666667,165768,27628.0,5246.833333333333,1.1110130603600423,1.8333333333333333,0.00582010582010582,15,5.26565229821162
84,195,791,768.0708333333333,16.27179487179487,8.482170465337129,4,0.06655092592592593,33,16.923076923076923,25,18,32,11525,677,2766,3002,57720,54474,1993,2013,0,1,0,0,1,1.0595880603590704,0.011729036729036729,9,21.666666666666668,3.6666666666666665,75.22222222222223,112194,12466.0,1280.5555555555557,0.9213857428381079,2.7777777777777777,0.1282051282051282,14,9.734837310195228
88,27,130,3.7649305555555554,18.0,0.2482848936899863,5,0.020856481481481483,6,22.22222222222222,5,28,40,183,171,348,486,1235,5143,1989,2020,1,0,0,0,1,0.24013221854948474,0.13846153846153847,2,13.5,3.0,85.5,6378,3189.0,91.5,0.7160493827160493,2.5,0.18518518518518517,12,34.85245901639344
89,50,59,28.870532407407406,6.82,1.93372337962963,1,0.0,19,38.0,8,21,41,1108,184,122,114,4234,9280,1987,2019,0,1,0,0,1,0.45625,0.04345772319319792,3,16.666666666666668,6.333333333333333,61.333333333333336,13514,4504.666666666667,369.3333333333333,1.0701754385964912,2.6666666666666665,0.16,20,12.196750902527075
90,123,49,321.2092939814815,6.414634146341464,12.55301264679314,3,1.7375347222222222,37,30.081300813008134,0,27,35,10085,122,1049,704,2711,72586,1987,2019,0,1,0,0,1,0.03734880004408564,0.0450018443378827,3,41.0,12.333333333333334,40.666666666666664,75297,25099.0,3361.6666666666665,1.4900568181818181,0.0,0.0,8,7.466236985622211
91,186,127,102.73361111111112,7.811827956989247,1.0493493628036643,1,0.0,16,8.60215053763441,87,27,36,3303,332,1108,1282,713,18392,1994,2020,1,0,0,0,1,0.03876685515441496,0.46563814866760167,2,93.0,8.0,166.0,19105,9552.5,1651.5,0.8642745709828393,43.5,0.46774193548387094,9,5.784135634271874
93,33,23,7.897141203703704,1.5454545454545454,0.2837205387205387,0,0.0,6,18.181818181818183,22,18,29,2005,235,96,51,43602,5725,1997,2017,0,1,0,0,1,7.616069868995633,0.005389661024723637,5,6.6,1.2,47.0,49327,9865.4,401.0,1.8823529411764706,4.4,0.6666666666666666,11,24.601995012468826
94,1356,657,627.3849074074074,10.314896755162241,6.178499842947667,2,0.013252314814814814,425,31.342182890855458,150,19,30,30165,4006,7391,7529,79113,19153,1995,2014,0,1,0,0,1,4.130580065786039,0.05063643143351915,8,169.5,53.125,500.75,98266,12283.25,3770.625,0.9816708726258467,18.75,0.11061946902654868,11,3.2576164428973975
95,437,327,143.8829976851852,13.205949656750573,1.933225511695908,5,0.040729166666666664,72,16.475972540045767,34,18,26,5458,1526,4210,5051,10538,2428,1990,2020,0,1,0,0,1,4.340197693574959,0.14480926171949138,2,218.5,36.0,763.0,12966,6483.0,2729.0,0.8334983171649178,17.0,0.07780320366132723,8,2.3755954562110664
96,12,16,2.118761574074074,4.083333333333333,0.3255883487654321,1,0.0,6,50.0,1,21,30,348,73,12,22,837,3034,1990,2020,0,1,0,0,1,0.27587343441001977,0.08721624850657109,2,6.0,3.0,36.5,3871,1935.5,174.0,0.5454545454545454,0.5,0.08333333333333333,9,11.123563218390805
97,50,44,124.75609953703703,4.6,7.3057185185185185,2,1.6893981481481481,16,32.0,6,25,35,1357,93,123,169,39686,27475,1986,2018,0,1,0,0,1,1.4444404003639673,0.0023433956558988056,4,12.5,4.0,23.25,67161,16790.25,339.25,0.727810650887574,1.5,0.12,10,49.49226234340457
101,68,14,48.363622685185184,1.6029411764705883,0.7667854711328975,1,0.0,25,36.76470588235294,22,23,35,2222,42,168,87,13546,121710,1986,2019,0,1,0,0,1,0.11129734615068605,0.003100546286726709,3,22.666666666666668,8.333333333333334,14.0,135256,45085.333333333336,740.6666666666666,1.9310344827586208,7.333333333333333,0.3235294117647059,12,60.87128712871287
102,94,78,2147.788935185185,4.904255319148936,28.126658047675342,1,0.0,46,48.93617021276596,13,18,40,6152,169,301,328,5448,19497,1975,2013,0,1,0,0,1,0.2794276042468072,0.03102055800293686,9,10.444444444444445,5.111111111111111,18.77777777777778,24945,2771.6666666666665,683.5555555555555,0.9176829268292683,1.4444444444444444,0.13829787234042554,22,4.054778933680104
103,124,269,134.58637731481483,7.459677419354839,2.387975470430107,2,0.003125,47,37.903225806451616,9,20,30,3122,194,782,912,11058,14733,1997,2014,0,1,0,0,1,0.7505599674200774,0.017543859649122806,8,15.5,5.875,24.25,25791,3223.875,390.25,0.8574561403508771,1.125,0.07258064516129033,10,8.261050608584242
106,461,213,141.24452546296297,7.68763557483731,2.9165848447417044,3,0.011631944444444445,102,22.125813449023862,50,18,22,1469,405,2133,1862,734,6003,2002,2020,1,0,0,0,1,0.12227219723471598,0.5517711171662125,2,230.5,51.0,202.5,6737,3368.5,734.5,1.1455424274973147,25.0,0.10845986984815618,4,4.586113002042206
108,25,10,21.648171296296297,2.68,1.4680509259259256,2,0.0349537037037037,7,28.000000000000004,5,40,53,711,49,32,53,2377,19781,1972,2020,0,1,0,0,1,0.12016581568171478,0.020614219604543543,2,12.5,3.5,24.5,22158,11079.0,355.5,0.6037735849056604,2.5,0.2,13,31.164556962025316
110,42,18,4.035347222222223,2.5,0.25133680555555554,1,0.0,21,50.0,3,18,24,1609,125,80,105,10692,9752,1998,2019,0,1,0,0,1,1.0963904840032814,0.011690983913206136,3,14.0,7.0,41.666666666666664,20444,6814.666666666667,536.3333333333334,0.7619047619047619,1.0,0.07142857142857142,6,12.706028589185829
111,62,161,56.93951388888889,12.596774193548388,2.0245758661887687,2,0.01685185185185185,25,40.32258064516129,1,18,19,1441,112,840,798,1931,4848,2001,2019,0,1,0,0,1,0.3983085808580858,0.05800103573278094,3,20.666666666666668,8.333333333333334,37.333333333333336,6779,2259.6666666666665,480.3333333333333,1.0526315789473684,0.3333333333333333,0.016129032258064516,1,4.704371963913949
113,49,68,15.173657407407408,6.408163265306122,0.9749692932728645,3,0.04231481481481481,19,38.775510204081634,0,19,31,856,75,297,315,1921,5208,1988,2018,0,1,0,0,1,0.36885560675883255,0.039042165538781884,4,12.25,4.75,18.75,7129,1782.25,214.0,0.9428571428571428,0.0,0.0,12,8.328271028037383
114,90,38,8.947314814814815,2.988888888888889,0.5569161522633744,1,0.0,43,47.77777777777778,6,18,22,7837,126,201,242,36565,34844,2000,2019,0,1,0,0,1,1.0493915738721158,0.003445918227813483,3,30.0,14.333333333333334,42.0,71409,23803.0,2612.3333333333335,0.8305785123966942,2.0,0.06666666666666667,4,9.111777465867041
115,171,392,560.8729861111111,15.894736842105264,8.819174044292833,3,0.01724537037037037,39,22.807017543859647,8,18,45,4373,302,2089,2031,11921,9565,1993,2014,0,1,0,0,1,1.246314688970204,0.025333445180773424,8,21.375,4.875,37.75,21486,2685.75,546.625,1.0285573609059577,1.0,0.04678362573099415,27,4.913331808826892
116,19,71,15.613784722222222,10.157894736842104,1.316426656920078,1,0.0,9,47.368421052631575,1,25,35,707,17,107,133,2665,5252,1985,2019,0,1,0,0,1,0.5074257425742574,0.006378986866791745,3,6.333333333333333,3.0,5.666666666666667,7917,2639.0,235.66666666666666,0.8045112781954887,0.3333333333333333,0.05263157894736842,10,11.198019801980198
117,337,57,505.9788888888889,4.005934718100891,2.7094494930761632,1,0.0,177,52.52225519287834,7,18,50,7225,407,1056,1187,26047,99990,1975,2015,0,1,0,0,1,0.2604960496049605,0.01562559987714516,7,48.142857142857146,25.285714285714285,58.142857142857146,126037,18005.285714285714,1032.142857142857,0.8896377422072451,1.0,0.020771513353115726,32,17.444567474048444
118,45,84,708.8311458333334,6.511111111111111,17.451414351851856,2,2.3148148148148147e-05,20,44.44444444444444,2,25,49,3231,421,140,166,20165,23018,1991,2019,0,1,0,0,1,0.8760535233295682,0.020877758492437393,3,15.0,6.666666666666667,140.33333333333334,43183,14394.333333333334,1077.0,0.8433734939759037,0.6666666666666666,0.044444444444444446,24,13.365212008666047
119,284,164,56.50497685185185,9.330985915492958,1.6270284787428269,1,0.0,37,13.028169014084506,127,23,28,595,67,864,809,141,6112,1999,2018,1,0,1,0,0,0.02306937172774869,0.475177304964539,4,71.0,9.25,16.75,6253,1563.25,148.75,1.0679851668726823,31.75,0.4471830985915493,5,10.509243697478992
121,48,165,360.17515046296296,8.020833333333334,19.00649739583333,2,0.0001388888888888889,22,45.83333333333333,2,25,30,2166,129,340,370,16829,5681,1991,2018,0,1,0,0,1,2.962330575602887,0.007665339592370314,4,12.0,5.5,32.25,22510,5627.5,541.5,0.918918918918919,0.5,0.041666666666666664,5,10.392428439519852
122,55,38,506.7438888888889,4.218181818181818,11.796795454545453,1,0.0,14,25.454545454545453,20,21,35,5963,174,250,237,850,64988,1997,2016,1,0,0,1,0,0.013079337723887486,0.20470588235294118,6,9.166666666666666,2.3333333333333335,29.0,65838,10973.0,993.8333333333334,1.0548523206751055,3.3333333333333335,0.36363636363636365,14,11.041086701324836
123,251,93,341.4346875,8.298804780876495,7.41014096392209,2,0.018819444444444444,68,27.091633466135455,4,21,34,4010,136,795,1305,9109,40076,1994,2020,0,1,0,0,1,0.22729314302824632,0.014930288725436381,2,125.5,34.0,68.0,49185,24592.5,2005.0,0.6091954022988506,2.0,0.01593625498007968,13,12.265586034912719
124,627,36,343.4225925925926,1.8676236044657097,2.0548788506409137,1,0.0,227,36.20414673046252,225,24,39,11132,922,1000,796,68721,36234,1982,2015,0,1,0,0,1,1.89658883921179,0.013416568443416132,7,89.57142857142857,32.42857142857143,131.71428571428572,104955,14993.57142857143,1590.2857142857142,1.256281407035176,32.142857142857146,0.3588516746411483,15,9.428224937118218
125,106,20,715.4474768518519,2.0849056603773586,8.119314836652691,1,0.0,62,58.490566037735846,12,20,30,8986,776,111,149,34592,91094,1998,2014,0,1,0,0,1,0.37973960963400444,0.022432932469935246,8,13.25,7.75,97.0,125686,15710.75,1123.25,0.7449664429530202,1.5,0.11320754716981132,10,13.986868462052081
